Date,J,Tmax,Tmin,RH_morning,RH_evening,SSH,WS
2010-03-02,61,34.2,11.9,57,18,7.0,1.65
2010-03-03,62,34.4,17.9,83,25,5.9,1.15
2010-03-04,63,34.3,10.3,63,28,8.1,0.99
2010-03-05,64,32.2,18.5,64,17,8.3,1.68
2010-03-06,65,32.4,15.2,71,32,11.8,1.08
2010-03-07,66,37.9,12.0,62,37,10.6,1.3
2010-03-08,67,30.9,15.4,60,16,7.7,1.4
2010-03-09,68,28.1,14.9,66,19,11.1,1.54
2010-03-10,69,32.7,12.3,71,10,8.3,1.05
2010-03-11,70,34.7,14.5,65,36,9.5,1.17
2010-03-12,71,30.9,15.8,69,40,7.5,1.31
2010-03-13,72,34.3,13.8,65,8,10.6,1.56
2010-03-14,73,37.9,19.6,62,25,9.0,2.08
2010-03-15,74,29.3,15.2,53,2,5.0,0.75
2010-03-16,75,37.7,11.8,63,13,10.2,0.86
2010-03-17,76,38.5,11.5,59,26,9.0,1.87
2010-03-18,77,34.9,11.0,61,19,10.5,1.45
2010-03-19,78,34.1,16.2,61,24,9.4,1.91
2010-03-20,79,34.2,13.1,57,32,7.8,1.44
2010-03-21,80,28.8,16.6,54,17,11.1,0.77
2010-03-22,81,34.3,14.2,57,38,12.0,0.51
2010-03-23,82,30.2,16.0,55,21,9.3,1.58
2010-03-24,83,33.8,14.2,59,38,8.0,1.44
2010-03-25,84,33.0,14.3,64,23,7.0,1.62
2010-03-26,85,38.7,14.6,71,33,10.9,1.42
2010-03-27,86,35.1,16.2,66,15,9.0,0.54
2010-03-28,87,34.5,15.0,75,27,10.9,1.3
2010-03-29,88,31.4,10.5,57,11,10.3,1.22
2010-03-30,89,36.2,14.2,73,36,7.7,1.19
2010-03-31,90,32.9,9.9,70,37,9.0,1.1
2010-04-01,91,42.8,14.6,49,21,8.4,2.16
2010-04-02,92,42.4,19.8,47,16,8.5,1.08
2010-04-03,93,43.6,23.1,54,9,12.3,2.39
2010-04-04,94,40.1,18.2,41,24,7.7,1.59
2010-04-05,95,42.8,16.7,64,36,7.0,1.03
2010-04-06,96,38.6,17.9,46,2,9.0,2.32
2010-04-07,97,36.2,19.8,36,26,9.0,2.38
2010-04-08,98,40.1,19.6,52,15,6.8,1.72
2010-04-09,99,39.0,20.9,51,15,10.3,2.3
2010-04-10,100,36.2,24.8,46,12,12.3,1.66
2010-04-11,101,43.6,22.5,35,21,8.4,1.06
2010-04-12,102,34.2,20.8,53,24,8.9,1.28
2010-04-13,103,36.5,19.1,40,18,9.5,1.24
2010-04-14,104,38.8,18.6,48,25,9.9,1.79
2010-04-15,105,34.5,19.6,50,26,6.3,1.66
2010-04-16,106,43.1,20.1,47,25,10.0,1.87
2010-04-17,107,39.7,20.9,42,18,12.0,1.52
2010-04-18,108,39.0,19.3,54,11,11.3,1.23
2010-04-19,109,36.3,21.0,49,23,11.6,1.44
2010-04-20,110,40.8,18.2,58,26,10.6,1.68
2010-04-21,111,37.1,19.7,52,20,9.7,1.06
2010-04-22,112,40.0,18.8,39,18,5.8,1.88
2010-04-23,113,42.1,20.4,40,11,9.2,0.63
2010-04-24,114,40.0,22.2,46,15,9.9,1.74
2010-04-25,115,42.8,20.5,42,15,9.9,2.22
2010-04-26,116,38.5,17.9,41,2,10.2,1.06
2010-04-27,117,35.8,15.6,39,26,6.9,0.9
2010-04-28,118,40.0,19.6,51,27,9.5,1.08
2010-04-29,119,39.1,21.8,43,6,11.7,1.43
2010-04-30,120,38.3,20.5,56,23,8.8,1.87
2010-05-01,121,47.3,29.5,50,11,12.3,1.32
2010-05-02,122,41.4,24.3,58,26,6.9,1.91
2010-05-03,123,44.1,25.2,35,15,8.9,1.81
2010-05-04,124,40.9,27.8,37,5,8.3,2.34
2010-05-05,125,40.8,31.9,49,10,8.1,1.9
2010-05-06,126,39.0,31.9,37,29,12.3,1.76
2010-05-07,127,39.5,25.3,48,31,9.9,1.24
2010-05-08,128,42.6,24.3,28,15,6.9,2.03
2010-05-09,129,47.3,30.6,40,17,11.2,2.22
2010-05-10,130,41.2,25.6,63,21,8.8,1.85
2010-05-11,131,44.2,23.4,43,10,9.2,2.55
2010-05-12,132,44.7,25.8,38,19,11.9,1.58
2010-05-13,133,46.9,22.6,43,39,5.8,2.28
2010-05-14,134,36.9,25.8,44,30,3.5,1.03
2010-05-15,135,40.8,26.1,38,20,7.4,1.64
2010-05-16,136,40.0,26.6,50,36,8.5,1.67
2010-05-17,137,42.6,25.3,45,6,10.5,1.43
2010-05-18,138,39.6,22.0,54,21,12.1,1.91
2010-05-19,139,37.4,23.3,51,14,7.6,1.73
2010-05-20,140,42.0,23.5,42,17,4.6,2.0
2010-05-21,141,40.1,29.3,36,6,12.2,1.17
2010-05-22,142,40.6,27.5,42,5,10.2,1.72
2010-05-23,143,46.4,27.5,69,6,9.8,1.37
2010-05-24,144,46.0,28.1,51,14,8.3,0.99
2010-05-25,145,47.3,27.3,43,31,11.3,2.19
2010-05-26,146,37.6,24.2,47,26,11.7,1.4
2010-05-27,147,42.9,31.5,51,31,9.8,2.11
2010-05-28,148,47.3,26.3,55,13,11.0,2.16
2010-05-29,149,40.2,28.7,40,14,9.8,2.57
2010-05-30,150,43.4,28.3,39,23,7.4,1.57
2010-05-31,151,45.0,25.9,57,20,9.4,2.31
2010-06-01,152,38.1,23.7,72,42,3.2,1.72
2010-06-02,153,38.8,31.9,56,32,5.7,1.28
2010-06-03,154,37.9,23.9,54,22,4.5,1.08
2010-06-04,155,38.4,25.8,52,43,7.4,1.53
2010-06-05,156,38.6,31.5,64,43,2.3,1.44
2010-06-06,157,33.5,26.4,65,31,8.5,1.29
2010-06-07,158,41.7,23.6,60,42,8.6,1.65
2010-06-08,159,45.8,26.5,58,10,11.0,1.55
2010-06-09,160,36.5,30.8,72,39,4.6,1.87
2010-06-10,161,38.1,24.6,70,17,8.6,1.88
2010-06-11,162,46.2,28.3,46,30,7.6,1.84
2010-06-12,163,42.9,22.6,59,48,10.6,2.44
2010-06-13,164,38.8,30.2,76,50,8.9,2.03
2010-06-14,165,37.6,23.9,70,35,7.4,1.47
2010-06-15,166,38.8,28.1,54,39,8.0,1.67
2010-06-16,167,37.8,29.5,77,32,10.0,2.06
2010-06-17,168,32.0,25.6,57,46,7.9,1.89
2010-06-18,169,41.9,25.3,56,26,7.2,1.65
2010-06-19,170,40.5,25.7,69,47,10.6,1.98
2010-06-20,171,40.6,29.2,67,31,10.1,2.39
2010-06-21,172,45.9,27.6,65,42,7.5,1.95
2010-06-22,173,39.6,27.0,76,40,7.6,2.05
2010-06-23,174,40.5,28.2,61,26,7.4,1.25
2010-06-24,175,40.6,24.5,69,45,8.1,1.66
2010-06-25,176,41.2,22.6,53,37,8.2,1.67
2010-06-26,177,37.0,27.8,58,27,8.2,1.62
2010-06-27,178,43.6,29.2,68,41,5.8,1.33
2010-06-28,179,35.6,33.6,53,36,6.8,1.59
2010-06-29,180,38.2,22.8,54,24,7.2,1.43
2010-06-30,181,37.9,28.0,57,47,6.7,1.79
2010-07-01,182,30.5,27.1,82,76,5.2,1.33
2010-07-02,183,35.2,24.5,96,81,5.5,0.93
2010-07-03,184,31.2,23.8,83,76,2.7,1.87
2010-07-04,185,34.5,20.5,81,46,3.0,1.18
2010-07-05,186,32.7,24.7,82,66,7.5,1.89
2010-07-06,187,31.1,28.6,72,64,7.6,0.5
2010-07-07,188,36.2,22.4,84,70,7.9,1.08
2010-07-08,189,34.3,27.1,83,64,4.4,1.44
2010-07-09,190,37.2,23.1,81,75,4.2,1.33
2010-07-10,191,34.4,23.8,79,76,2.3,1.87
2010-07-11,192,35.2,22.3,87,74,6.0,1.86
2010-07-12,193,33.4,23.7,80,62,3.0,1.51
2010-07-13,194,34.5,24.3,79,75,3.5,0.98
2010-07-14,195,34.0,24.8,76,80,6.2,1.42
2010-07-15,196,34.9,26.8,85,81,7.8,1.43
2010-07-16,197,35.8,27.7,82,61,6.3,0.77
2010-07-17,198,39.9,27.7,87,73,8.0,1.02
2010-07-18,199,31.0,24.0,83,62,4.8,1.45
2010-07-19,200,32.1,29.5,74,59,5.3,1.32
2010-07-20,201,35.8,24.0,77,66,3.1,1.61
2010-07-21,202,33.1,27.4,90,82,6.3,1.71
2010-07-22,203,36.8,24.2,83,54,5.1,1.13
2010-07-23,204,35.7,26.8,74,62,3.8,1.19
2010-07-24,205,35.0,22.6,85,55,0.2,1.69
2010-07-25,206,30.6,24.1,74,58,3.7,1.24
2010-07-26,207,37.4,26.6,83,80,6.7,1.56
2010-07-27,208,33.3,28.0,99,79,8.0,1.77
2010-07-28,209,37.0,22.8,76,72,1.2,1.16
2010-07-29,210,37.1,23.8,89,58,3.5,1.81
2010-07-30,211,35.1,26.2,99,85,2.7,1.93
2010-07-31,212,32.7,25.5,85,83,2.2,1.58
2010-08-01,213,34.6,26.5,88,88,2.6,1.56
2010-08-02,214,34.1,21.0,93,80,3.3,0.81
2010-08-03,215,32.3,20.9,100,67,2.7,1.56
2010-08-04,216,34.8,26.3,100,75,1.9,1.44
2010-08-05,217,35.4,23.7,80,90,5.2,0.55
2010-08-06,218,35.3,20.9,86,67,2.7,0.77
2010-08-07,219,31.2,26.3,92,84,6.2,0.95
2010-08-08,220,33.2,25.8,100,87,6.8,1.51
2010-08-09,221,36.2,20.0,97,80,4.1,0.89
2010-08-10,222,31.7,25.5,97,63,4.4,0.88
2010-08-11,223,30.1,25.5,87,71,2.5,1.21
2010-08-12,224,33.0,21.8,83,76,4.8,0.68
2010-08-13,225,34.5,22.4,100,69,2.4,1.18
2010-08-14,226,30.3,26.6,100,74,4.3,0.89
2010-08-15,227,33.0,28.1,97,69,7.1,1.56
2010-08-16,228,34.5,22.9,91,70,4.9,0.97
2010-08-17,229,26.3,24.3,92,89,3.7,1.18
2010-08-18,230,36.3,25.5,92,98,3.7,1.17
2010-08-19,231,38.2,22.5,82,64,5.1,1.35
2010-08-20,232,35.2,21.1,98,90,3.8,1.11
2010-08-21,233,35.0,25.4,95,67,3.7,0.62
2010-08-22,234,34.9,25.8,89,81,0.9,1.44
2010-08-23,235,31.6,24.8,99,70,6.4,1.15
2010-08-24,236,33.1,25.9,80,84,4.1,1.51
2010-08-25,237,32.3,23.6,93,77,1.7,1.02
2010-08-26,238,36.8,24.3,83,85,0.3,0.25
2010-08-27,239,33.0,25.0,92,69,3.7,0.54
2010-08-28,240,33.7,20.5,89,81,0.5,0.89
2010-08-29,241,35.4,28.4,78,81,1.5,0.56
2010-08-30,242,37.8,26.2,84,80,5.3,1.17
2010-08-31,243,39.7,26.0,66,75,2.5,1.02
2010-09-01,244,33.5,21.4,76,79,7.7,0.63
2010-09-02,245,35.5,24.7,95,54,8.1,0.66
2010-09-03,246,37.0,22.5,67,65,2.9,0.81
2010-09-04,247,33.3,22.0,73,54,4.8,0.8
2010-09-05,248,37.4,24.8,81,78,3.8,1.17
2010-09-06,249,33.0,23.6,90,58,8.1,0.9
2010-09-07,250,40.7,22.2,95,71,4.2,1.44
2010-09-08,251,30.3,17.4,92,76,6.6,0.8
2010-09-09,252,38.3,24.8,80,72,4.0,0.68
2010-09-10,253,30.3,17.5,76,77,4.3,0.68
2010-09-11,254,30.0,25.2,85,70,6.3,0.43
2010-09-12,255,30.6,25.1,85,73,0.2,1.34
2010-09-13,256,32.0,28.4,81,65,7.8,0.55
2010-09-14,257,36.1,21.4,95,73,7.5,0.61
2010-09-15,258,32.9,23.7,69,59,8.4,0.39
2010-09-16,259,37.3,21.4,88,54,7.5,1.09
2010-09-17,260,36.9,26.4,95,67,4.0,1.43
2010-09-18,261,29.6,21.9,91,69,9.7,0.9
2010-09-19,262,28.4,22.3,86,61,9.3,0.8
2010-09-20,263,29.2,24.2,76,82,7.0,0.34
2010-09-21,264,36.7,28.9,69,74,7.5,0.97
2010-09-22,265,34.5,24.2,79,79,3.8,1.68
2010-09-23,266,38.1,20.0,85,79,5.5,0.84
2010-09-24,267,32.3,25.9,80,65,7.6,0.82
2010-09-25,268,30.9,19.6,73,53,3.1,0.61
2010-09-26,269,34.4,23.1,78,55,4.5,0.34
2010-09-27,270,29.8,24.8,74,65,5.3,1.87
2010-09-28,271,28.1,23.5,82,57,7.1,0.96
2010-09-29,272,30.3,24.1,88,78,5.3,1.49
2010-09-30,273,32.9,18.1,89,64,4.7,1.27
2010-10-01,274,32.1,20.0,77,53,9.9,0.99
2010-10-02,275,30.4,19.8,78,65,9.5,1.1
2010-10-03,276,31.2,16.5,79,33,6.2,0.76
2010-10-04,277,33.3,18.0,87,41,9.9,0.74
2010-10-05,278,32.9,18.1,61,46,7.2,0.43
2010-10-06,279,27.8,16.4,63,54,8.0,0.13
2010-10-07,280,31.5,19.4,73,42,7.8,0.75
2010-10-08,281,28.4,17.4,74,75,8.1,0.62
2010-10-09,282,36.5,17.1,80,36,11.6,0.55
2010-10-10,283,34.6,20.3,76,45,9.7,1.07
2010-10-11,284,30.2,18.0,70,38,7.2,1.29
2010-10-12,285,38.3,24.0,78,37,6.6,1.44
2010-10-13,286,28.9,16.7,73,62,6.5,1.24
2010-10-14,287,37.4,17.1,82,30,8.3,0.71
2010-10-15,288,25.8,18.5,81,28,5.7,0.5
2010-10-16,289,31.9,16.7,70,35,9.1,0.61
2010-10-17,290,33.2,16.9,82,43,10.2,0.84
2010-10-18,291,36.2,20.6,66,54,12.1,0.41
2010-10-19,292,33.4,16.6,82,50,7.2,1.33
2010-10-20,293,30.9,17.2,86,65,7.5,1.11
2010-10-21,294,34.2,13.5,70,33,7.5,0.63
2010-10-22,295,33.6,20.7,81,72,8.0,1.12
2010-10-23,296,34.7,21.3,75,53,11.8,0.51
2010-10-24,297,33.3,18.8,75,36,12.2,0.71
2010-10-25,298,38.7,16.2,76,53,8.1,0.44
2010-10-26,299,31.3,18.2,73,46,4.0,0.58
2010-10-27,300,33.0,16.2,70,36,8.6,1.39
2010-10-28,301,29.3,16.8,86,48,8.3,0.62
2010-10-29,302,33.5,17.2,61,38,4.6,1.32
2010-10-30,303,36.0,15.5,84,69,7.3,1.32
2010-10-31,304,34.6,16.9,69,39,7.7,0
2010-11-01,305,31.6,10.2,84,36,12.3,0.04
2010-11-02,306,27.2,12.8,99,30,12.2,0.33
2010-11-03,307,33.9,11.2,98,58,7.2,1.87
2010-11-04,308,26.6,10.2,94,33,7.2,0.75
2010-11-05,309,31.4,12.0,74,42,9.8,1.3
2010-11-06,310,31.0,7.9,80,34,11.1,0.03
2010-11-07,311,31.7,8.3,90,48,8.9,0.9
2010-11-08,312,29.0,12.7,80,47,8.6,0
2010-11-09,313,28.5,14.8,92,41,8.2,0.57
2010-11-10,314,31.9,12.4,72,47,11.0,0.32
2010-11-11,315,29.4,12.2,86,36,7.4,0.51
2010-11-12,316,31.2,12.1,80,26,6.3,0.95
2010-11-13,317,26.3,11.6,77,34,8.6,1.37
2010-11-14,318,30.9,10.3,68,45,10.8,0.94
2010-11-15,319,33.5,12.2,70,40,9.5,0.99
2010-11-16,320,28.5,10.8,83,53,10.5,0.96
2010-11-17,321,31.2,8.4,71,39,10.6,0.86
2010-11-18,322,31.7,7.2,68,51,8.4,0.17
2010-11-19,323,32.6,11.6,100,53,9.2,0.64
2010-11-20,324,30.7,10.7,68,49,9.0,0
2010-11-21,325,28.1,8.9,88,40,11.5,0.06
2010-11-22,326,26.8,13.7,75,29,7.4,0.4
2010-11-23,327,31.6,13.8,67,37,8.5,0.73
2010-11-24,328,32.5,11.3,75,29,4.9,0.55
2010-11-25,329,30.0,13.3,77,63,8.3,0.51
2010-11-26,330,31.1,8.6,82,19,9.9,0.73
2010-11-27,331,30.6,11.4,70,31,11.6,0.9
2010-11-28,332,28.2,12.1,83,60,10.7,0.86
2010-11-29,333,28.7,15.5,79,31,6.1,0.36
2010-11-30,334,28.9,12.9,87,52,8.8,1.03
2010-12-01,335,32.3,8.8,100,30,6.0,0.4
2010-12-02,336,17.5,6.7,99,40,7.9,0.36
2010-12-03,337,24.0,7.2,78,57,3.7,0.83
2010-12-04,338,24.0,10.2,94,24,2.7,0.3
2010-12-05,339,24.0,6.0,88,52,4.8,0
2010-12-06,340,26.3,5.6,87,39,7.2,1.29
2010-12-07,341,20.6,3.4,93,61,7.1,0.19
2010-12-08,342,19.5,7.2,78,67,12.2,0.79
2010-12-09,343,27.0,6.2,97,45,7.6,1.24
2010-12-10,344,27.4,11.8,75,39,5.7,1.04
2010-12-11,345,24.0,8.0,79,44,12.1,1.36
2010-12-12,346,19.9,7.4,95,40,5.3,0.96
2010-12-13,347,25.8,7.9,87,68,5.7,0.5
2010-12-14,348,27.0,8.3,77,58,4.6,0.7
2010-12-15,349,24.6,4.7,97,22,6.0,0.34
2010-12-16,350,28.1,10.4,94,59,3.1,0.77
2010-12-17,351,21.4,5.6,90,46,10.3,0
2010-12-18,352,23.0,2.8,75,55,7.9,1.32
2010-12-19,353,29.1,6.7,80,55,6.1,0.22
2010-12-20,354,22.0,6.8,98,46,9.9,0.74
2010-12-21,355,24.2,13.3,100,47,5.8,0.06
2010-12-22,356,26.7,5.9,92,48,8.4,1.16
2010-12-23,357,26.4,4.7,82,51,5.4,0.99
2010-12-24,358,27.6,6.4,82,27,5.3,0.05
2010-12-25,359,25.6,5.4,81,54,7.8,0.72
2010-12-26,360,27.2,9.1,75,52,3.9,0.38
2010-12-27,361,28.5,8.2,93,47,10.3,0.08
2010-12-28,362,24.6,6.6,100,55,9.6,0.4
2010-12-29,363,32.2,7.7,80,68,4.6,0.35
2010-12-30,364,24.8,4.0,92,48,7.7,1.46
2010-12-31,365,20.6,9.9,81,60,11.3,1.62
